"Story","Title","Result","Date","Stability","Duration (s)"
"Compras en pagina de pruebas","Compra de productos","SUCCESS","2023-03-22T14:19:47.9788795-05:00[America/Bogota]","0.0","47.59"
"Compras en pagina de pruebas","Iniciar sesion","SUCCESS","2023-03-22T14:20:35.9865556-05:00[America/Bogota]","0.0","23.93"
