"Story","Title","Result","Date","Stability","Duration (s)"
"Compras en pagina de pruebas","Orden de compra y pago","SUCCESS","2023-03-24T16:07:52.0882856-05:00[America/Bogota]","0.0","65.83"
"Compras en pagina de pruebas","Registro de usuario","SUCCESS","2023-03-24T16:09:06.7052985-05:00[America/Bogota]","0.0","47.35"
